Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
CUEXCOMATITLAN,44,8,1,13,"246.732,88",0,0,0,0,0,0,0,0,0,0
CUMBRES,78,35,7,24,"27.472,51","2,301","2,311","2,063",80,117,441,"1,117",48,933,14
CUMBRES DEL NILO,15,3,0,1,"466.755,32",435,436,242,0,21,106,241,1,21,0
DE LA AZALEA,37,3,1,2,"589.345,74","1,051",926,406,7,88,338,629,17,120,1
DE LA PRESA,8,1,0,2,"647.278,89",71,49,33,0,1,8,31,1,11,1
DE LAS AURORAS,8,4,2,3,"258.175,71",302,295,263,5,22,66,127,4,48,0
DE LAS AZALEAS,2,1,0,2,"80.463,45",43,39,21,1,2,8,20,2,10,2
DE LAS FLORES,16,4,0,6,"70.235,53",435,411,302,0,22,98,235,4,100,0
DE LAS LOMAS,15,7,3,3,"654.315,33",0,0,0,0,0,0,0,0,0,0
DE LOS FRESNOS,4,2,0,1,"344.066,33",986,915,579,7,9,224,464,4,17,3
DE LOS PINOS,3,1,0,0,"97.438,86",147,119,80,0,2,32,86,2,1,0
DE LOS SAUCES,24,3,1,3,"37.850,72",376,355,178,3,5,59,147,6,9,0
DE SAN MARTIN,18,3,3,4,"202.162,09",904,906,758,17,57,214,481,10,316,1
DE SAN SEBASTIAN,15,12,1,2,"379.897,15",655,659,479,0,15,177,388,4,129,0
DE SANTIAGO,26,5,0,10,"750.591,06",951,887,404,24,107,193,574,12,255,1
DEL ANGEL RESIDENCIAL,14,8,1,6,"155.580,13","2,193","2,116","1,978",78,114,412,937,38,670,2
DEL BARRO,46,3,1,10,"96.999,23",337,348,251,1,14,92,194,5,76,1
DEL BOSQUE,129,6,2,6,"504.372,13",77,73,26,0,3,29,56,1,1,0
DEL CARRIL,8,2,0,1,"410.703,37",0,0,0,0,0,0,0,0,0,0
DEL FRESNO,1149,120,25,137,"101.491,25","1,108","1,099",806,69,74,257,632,15,211,0
DEL HUERTO,3,0,1,0,"194.639,95",253,243,165,0,16,57,121,5,44,1
DEL IRIS,1,1,0,0,"249.552,17",90,98,47,0,1,34,93,1,0,0
DEL MEZQUITE,6,1,1,2,"861.184,34",90,88,63,1,11,28,51,1,9,0
DEL PARQUE,73,8,0,1,"144.008,80",155,132,46,8,10,42,100,1,7,0
DEL PERIODISTA,44,5,1,7,"560.020,32",312,299,170,6,19,56,147,10,89,0
DEL PILAR RESIDENCIAL,6,3,0,0,"613.301,13",708,624,484,0,25,130,468,4,12,1
DEL SOL,84,4,0,0,"141.778,81",240,226,176,0,15,43,102,5,40,0
DEL SUR,487,43,10,44,"746.016,76","1,147","1,137",809,33,128,247,562,3,305,3
DEL VALLE,13,1,0,1,"72.511,78",274,265,187,0,4,66,143,1,18,0
DEMETRIO VALLEJO,1,2,1,1,"24.965,30",98,93,66,1,18,32,64,8,23,1
DESPERTARES,21,5,1,0,"43.311,63",404,407,324,4,10,84,214,5,21,0
DIANA,1,0,0,1,"43.311,63",404,407,324,4,10,84,214,5,21,0
DIVISION DEL NORTE,164,39,9,31,"115.399,96",730,693,365,0,86,140,407,9,172,1
DON BOSCO VALLARTA,186,5,1,6,"191.910,40",152,128,38,0,17,16,95,2,22,1
DR ATL,34,22,4,15,"74.213,30","1,604","1,59","1,003",7,114,390,873,7,370,5
DR VALENTIN GOMEZ FARIAS,484,108,21,99,"210.553,05","4,121","4,03","2,642",95,636,793,"2,264",60,953,8
DR. VALENTIN GOMEZ FARIAS,2,0,1,15,"210.553,05","4,121","4,03","2,642",95,636,793,"2,264",60,953,8
ECHEVERRIA,510,105,16,109,"264.511,13","8,772","8,504","5,26",95,"1,28","1,651","5,098",153,"2,061",15
ECOLOGICA EL SEATTLE,58,11,3,0,"317.848,43",417,430,154,17,18,93,195,6,19,0
EDUCADORES JALISCIENSES,217,32,5,25,"1.463.485,04","2,163","2,013","1,218",17,195,552,"1,24",56,359,3
EL ALAMO,346,21,2,31,"155.841,16","1,07",987,500,22,65,209,613,9,181,0
EL ARROYO,5,5,0,4,"29.334,08",279,276,205,0,27,76,75,1,89,1
EL BAJIO,82,7,2,17,"686.173,43",0,0,0,0,0,0,0,0,0,0
EL BAJIO 2,2,0,0,0,"686.173,43",0,0,0,0,0,0,0,0,0,0
EL BALUARTE,1,1,0,0,"79.140,45",134,146,80,1,1,28,82,2,1,1
EL BATAN,231,31,7,25,"346.828,69","2,261","2,094","1,17",6,280,460,"1,285",28,561,10
EL BETHEL,332,66,16,48,"39.968,38","4,561","4,426","3,2",245,407,906,"2,411",45,"1,114",7
EL BOSQUE,31,6,1,5,"643.604,14",922,887,541,10,27,246,496,7,77,0
EL BRISEÃ‘O,253,65,14,53,"643.604,14",922,887,541,10,27,246,496,7,77,0
EL CALABOZO,0,2,0,1,"175.112,66",0,0,0,0,0,0,0,0,0,0
EL CAMPANARIO,201,32,7,30,"3.030.176,19","2,241","2,295","1,279",100,137,487,"1,147",37,415,3
EL CAMPESINO,135,50,7,64,"34.395,26","3,773","3,775","2,725",421,425,699,"2,092",54,932,11
EL CAPULIN,27,3,3,4,"1.088.762,92",485,504,380,9,53,95,291,9,102,3
EL CAPULLO,150,4,0,9,"234.830,85",430,404,160,13,19,105,220,15,36,2
EL CARACOL,14,4,0,0,"611.954,57",243,239,177,0,19,52,134,2,57,0
EL CARMEN,403,65,10,65,"617.396,16","1,816","1,89","1,292",61,294,406,"1,139",50,425,10
EL CARMEN HABITAT,28,2,1,3,"353.885,79",428,383,256,1,20,113,256,7,5,0
EL CARRIL TAPATIO,8,3,1,1,"147.738,22",30,24,30,4,4,25,9,4,6,4
EL CASTILLO,83,14,3,13,"129.952,47","1,525","1,476","1,008",11,124,280,808,23,355,3
EL CASTILLO 1,28,7,2,6,"190.454,55",0,0,0,0,0,0,0,0,0,0
EL CENTINELA,23,9,1,4,"24.617,47",483,497,223,3,18,149,272,3,15,3
EL CERRITO,134,56,6,39,"349.620,93","4,023","4,017","2,962",60,351,912,"2,062",34,945,25
EL CERRITO DE LA REYNA,26,7,1,2,"350.065,69",197,249,185,0,14,60,127,2,33,2
EL CHIRIMOYO,18,6,3,7,"65.480,85",962,948,742,8,33,263,497,13,229,2
EL CIELO COUNTRY CLUB,0,0,1,0,"655.476,67",628,638,330,2,14,187,494,4,5,2
EL COLIBRI,27,9,4,12,"45.416,65",558,576,506,43,40,102,320,20,215,3
EL COLLI URBANO,906,62,14,66,"2.029.203,97","6,04","5,861","2,952",218,358,"1,136","3,194",42,819,8
EL DEAN,131,16,3,23,"372.203,93","1,92","1,727",990,9,201,386,"1,177",9,401,3
EL DERRAMADERO,14,2,1,2,"287.181,20",49,49,46,0,3,10,22,0,7,0
EL DUQUE,2,1,0,0,"406.930,49",268,234,199,7,43,67,121,5,54,4
EL EJIDO COPALITA,18,6,2,13,"176.934,17",0,0,0,0,0,0,0,0,0,0
EL FORTIN,211,39,7,30,"2.409.335,74","1,152","1,095",662,23,69,306,630,14,77,5
EL HUMEDO DE NEXTIPAC,7,9,2,18,"273.582,41",731,776,654,11,79,143,380,8,144,2
EL JAGUEY,35,19,4,16,"203.180,31","1,233","1,251",897,23,139,217,612,13,320,3
EL JORDAN,11,5,0,2,"147.871,97",172,152,164,13,30,86,96,18,30,13
EL LIMON,0,0,1,0,"274.541,29",0,0,0,0,0,0,0,0,0,0
EL MANANTIAL,510,21,1,30,"147.469,35",555,518,299,3,14,181,372,6,5,3
EL MANTE,387,33,11,49,"249.030,65","2,273","2,257","1,404",119,295,454,"1,16",39,427,9
EL MIRADOR,85,29,5,33,"493.781,20","1,747","1,68","1,292",0,180,359,955,11,466,11
EL MOLINO,49,6,1,5,"781.956,38",261,259,179,0,6,47,164,2,37,0
EL MORAL,8,6,0,6,"810.394,88",0,0,0,0,0,0,0,0,0,0
EL MORITO,62,14,2,14,"180.130,29",956,"1,003",732,35,112,248,409,11,231,4
EL MUELLE (EL MUEY),38,8,1,9,"788.071,31",0,0,0,0,0,0,0,0,0,0
EL ORGANO,128,39,8,40,"223.239,89","2,398","2,415","1,837",225,181,530,"1,26",62,561,8
EL ORIGEN RESIDENCIAL,8,1,0,0,"445.200,55",630,577,339,0,4,96,299,3,7,0
EL PALOMAR,205,22,5,16,"1.992.649,14","1,643","1,558",557,4,55,420,"1,167",14,13,2
EL PANORAMICO II,16,4,0,2,"407.700,29",112,145,97,11,31,45,56,3,19,1
EL PARAISO,145,20,3,9,"19.278,25",211,238,203,0,12,35,129,1,41,0
EL PARDO,7,0,0,2,"624.174,24",537,585,437,9,41,112,236,8,82,5
EL PEDREGAL,17,10,0,12,"164.361,25",682,685,514,16,89,189,418,13,114,10
EL PEDREGAL 2,3,4,0,1,"164.361,25",682,685,514,16,89,189,418,13,114,10
EL PLAN,12,3,1,3,"129.956,06",139,145,103,1,12,33,84,3,14,1
EL POTRERO DEL SABINO,12,2,1,0,"58.494,22",27,22,36,13,5,28,16,5,7,5
EL PRADO,1,0,0,0,"842.319,36",127,103,38,3,5,30,93,0,1,0
EL QUEMADO,3,0,0,0,"399.544,55",0,0,0,0,0,0,0,0,0,0
EL RASTRO,46,8,2,8,"303.514,66",839,837,411,10,41,143,589,6,183,0
EL REAL,18,5,0,4,"91.847,93",593,646,377,11,35,159,309,12,70,4
EL RECODO,23,13,0,5,"328.209,37",736,745,593,6,37,165,383,9,191,2
EL REFUGIO,34,17,7,31,"1.361.770,13","2,055","2,066","1,491",22,238,406,"1,137",27,474,1
EL REFUGIO DEL VALLE,89,6,3,10,"417.894,78",0,0,0,0,0,0,0,0,0,0
EL REHILETE,22,7,1,11,"379.939,12",920,852,634,27,55,260,419,5,180,2
EL REMOLINO,6,0,0,0,"430.175,82",48,59,43,0,4,12,32,0,6,1
EL RETIRO,636,64,22,73,"1.127.469,36","5,341","4,884","2,389",69,579,"1,094","3,081",107,"1,542",14
EL RINCON SECRETO,1,0,0,0,"246.812,95",0,0,0,0,0,0,0,0,0,0
EL ROCIO,20,6,0,3,"132.924,20",445,417,324,7,29,129,268,2,59,0
EL RODEO,25,2,1,4,"541.436,37",0,0,0,0,0,0,0,0,0,0
EL ROSARIO,925,55,8,72,"2.232.685,66","2,666","2,576","1,742",20,249,549,"1,376",54,626,5
EL SANCHE,2,5,1,0,"166.394,20",30,29,27,9,4,13,15,3,11,2
EL SANTUARIO,24,2,2,2,"360.945,03",928,809,422,3,140,150,497,14,199,2
EL SAUZ,774,84,21,120,"122.913,47",266,293,127,1,7,35,79,4,33,2
EL SEMINARIO,12,0,0,0,"63.751,79",0,0,0,0,0,0,0,0,0,0
EL SINAI,2,2,2,0,"181.932,30",99,105,91,0,6,22,57,3,21,0
EL TAPATIO,433,89,14,82,"761.562,72","5,261","5,163","3,614",293,522,"1,122","2,715",73,"1,338",18
EL TECOLOTE,1,1,0,1,"94.900,13",0,0,0,0,0,0,0,0,0,0
EL TEMPISQUE,0,2,0,2,"362.988,71",72,73,61,1,3,30,43,2,10,1
EL TEPAME,5,0,0,2,"7.421.801,56",15,18,9,0,1,2,15,0,3,0
EL TERRERO,27,8,7,16,"135.026,37","1,286","1,332","1,064",25,90,242,707,27,348,6
EL TERRON,5,0,1,0,"256.982,09",111,108,74,4,4,20,48,0,17,0
EL TIGRE,32,4,2,8,"354.817,12",480,468,292,4,57,139,267,8,73,4
EL TIZATE,12,7,2,11,"300.581,55","1,136","1,076",906,157,69,259,540,13,218,8
EL TRAPICHE,30,1,2,13,"194.133,64",433,377,288,8,36,74,99,5,80,9
EL TRECE,88,5,1,14,"980.329,94","1,042","1,009",671,7,127,200,666,21,234,1
EL TRIANGULO,3,0,0,0,"914.370,90",99,90,42,0,3,32,68,4,13,0
EL TRIGO,4,0,0,1,"191.184,65",20,22,17,6,3,6,12,1,7,0
EL VADO,99,4,1,13,"253.755,80",319,310,252,1,41,63,161,4,81,1
EL VERDE,105,14,1,15,"30.266,52","1,596","1,598","1,237",13,100,351,820,28,419,16
EL VERDE ( PLANETARIO),138,14,2,20,"289.651,52",738,690,448,12,47,169,381,10,196,3
EL VERGEL,490,123,29,148,"643.122,49","9,104","8,924","6,085",100,698,"1,779","5,034",137,"2,363",28
EL VIGIA,345,37,11,41,"128.149,94","2,78","2,513","1,429",57,384,513,"1,574",29,653,5
EL ZALATE,219,42,9,47,"444.903,24",0,0,0,0,0,0,0,0,0,0
EL ZAPOTE,168,15,2,19,"83.163,72",279,280,214,0,24,45,168,0,44,0
EL ZAPOTE I,3,1,0,0,"197.124,67",242,290,195,12,33,60,114,4,45,1
EL ZAPOTE II,0,1,0,0,"21.233,11",192,196,195,9,15,45,89,5,23,3
ELECTRICISTAS,196,18,2,12,"197.760,80",745,660,303,3,66,120,484,6,175,2
ELEMENT,9,2,0,2,"1.765.050,98",423,455,172,9,13,49,171,7,11,0
ELITE,4,0,0,0,"281.934,93",245,256,44,5,2,32,48,2,0,0
EMILIANO ZAPATA,171,54,11,71,"276.623,42",604,587,527,1,49,145,308,10,141,2
ERMITA,93,7,1,18,"484.526,25",711,766,525,13,89,160,382,11,160,7
ESENCIA,3,1,0,1,"414.478,80",0,0,0,0,0,0,0,0,0,0
ESMERALDA,52,12,2,9,"166.381,36","1,166","1,19",987,19,168,193,502,17,329,4
ESPAÃ‘A,36,3,0,3,"166.381,36","1,166","1,19",987,19,168,193,502,17,329,4
ESTRADA,22,5,1,3,"65.534,52",886,836,637,30,108,204,500,13,182,4
EUCALIPTO VALLARTA,55,2,0,3,"381.844,34",536,505,121,3,12,98,324,7,52,0
EXHACIENDA VIEJA DEL CASTILLO,9,5,0,3,"673.997,48",0,0,0,0,0,0,0,0,0,0
EXHACIENDA ZAPOTLANEJO,4,1,3,4,"228.688,79",0,0,0,0,0,0,0,0,0,0
FABRICA DE ATEMAJAC,179,7,1,14,"234.896,88","1,09",912,355,17,209,208,688,19,240,2
FEDERALISMO,34,4,0,5,"234.896,88","1,09",912,355,17,209,208,688,19,240,2
FELIPE ANGELES,106,26,4,38,"966.927,61","2,991","2,963","2,319",482,343,635,"1,508",50,695,10
FERROCARRIL,844,82,13,92,"53.066,13","4,729","4,576","2,563",762,490,933,"2,46",96,"1,227",22
FIDEL VELAZQUEZ,46,12,0,8,"470.717,53",70,86,80,0,5,18,39,0,18,1
FLAMINGO,5,1,1,0,"57.123,25",184,190,126,0,1,61,111,6,14,0
FLORES DEL VALLE,27,2,1,2,"70.436,45",366,351,132,11,10,102,126,2,47,2
FLORES MAGON,55,7,1,10,"1.051.095,90",373,363,194,5,39,77,198,3,95,1
FORESTA SANTA ANITA,1,3,0,0,"85.794,40",0,0,0,0,0,0,0,0,0,0
FORET,10,3,0,0,"875.718,83",876,836,531,0,20,128,298,13,26,1
FOVISSSTE (ESTATUTO JURIDICO),63,11,6,5,"159.689,58",952,816,361,37,70,183,687,8,209,2
FOVISSSTE ESTADIO,51,7,0,5,"322.753,06","1,836","1,623",788,12,49,393,931,27,418,4
FOVISSSTE MIRAVALLE,275,58,10,56,"6.425.770,73","6,664","6,105","3,794",23,597,"1,193","4,25",137,"1,99",8
FRACC  RESIDENCIAL AMANECERES,14,2,0,0,"6.425.770,73","6,664","6,105","3,794",23,597,"1,193","4,25",137,"1,99",8
FRACC LOMAS DE LA CAPILLA,9,7,3,2,"3.881.095,82",0,0,0,0,0,0,0,0,0,0
FRACC PASEOS DEL PEDREGAL,15,13,0,7,"913.267,53","2,489","2,458","2,342",20,139,469,"1,048",16,565,3
FRACC REAL DEL VALLE,154,0,0,6,"913.267,53","2,489","2,458","2,342",20,139,469,"1,048",16,565,3
FRACC VISTAS DEL VALLE,1,1,0,2,"227.256,26",0,0,0,0,0,0,0,0,0,0
FRACCIONAMIENTO CASA BLANCA,6,4,0,1,"211.041,53",0,0,0,0,0,0,0,0,0,0
FRACCIONAMIENTO GEOVILLAS ARBOLADAS PLUS,9,4,1,0,"233.549,17",0,0,0,0,0,0,0,0,0,0
FRACCIONAMIENTO LOS PRADOS,1,2,0,1,"447.516,87",0,0,0,0,0,0,0,0,0,0
FRACCIONAMIENTO RESIDENCIAL SAN JOSE,22,6,4,8,"463.741,10",450,421,328,0,24,92,243,10,126,0
FRANCISCO I MADERO,55,41,6,40,"340.053,19","3,332","3,305","2,642",473,469,643,"1,595",80,929,8
FRANCISCO I MADERO 2a SECCION,114,31,7,73,"43.984,25","4,079","3,955","3,093",416,567,741,"2,036",69,"1,003",12
FRANCISCO SARABIA,189,25,4,25,"380.486,90","1,764","1,665","1,109",159,192,279,773,24,369,5
FRANCISCO SILVA ROMERO,138,31,8,38,"38.543,06","2,763","2,644","1,873",41,203,603,"1,555",46,686,7
FRANCISCO VILLA,275,28,9,39,"256.999,20","1,626","1,543",921,27,181,368,852,15,245,2
FRENTE POPULAR TONALTECA,2,1,0,4,"225.938,33",82,94,83,1,2,33,35,1,21,2
FUENTE MAYOR,2,2,0,3,"247.997,62",26,30,14,0,1,7,18,3,2,0
FUENTES DEL NILO,13,3,0,0,"90.610,99",359,348,226,3,30,95,207,8,33,0
GALAXIA BONITO JALISCO,42,37,3,24,"129.638,64","3,074","2,975","2,448",78,319,630,"1,461",38,"1,221",19
GEO VILLAS DEL REAL,23,3,1,0,"278.737,92",575,552,284,9,36,169,351,5,17,1
GEO VILLAS LOS OLIVOS,285,39,4,31,"278.737,92",575,552,284,9,36,169,351,5,17,1
GEOVILLAS LA ARBOLADA,96,15,3,24,"98.621,12","1,609","1,518","1,313",20,80,388,886,15,277,1
GIRASOLES ACUEDUCTO,35,4,0,5,"105.441,14",526,500,304,0,24,112,290,13,31,0
GIRASOLES ELITE,80,6,0,1,"269.849,58","1,446","1,339",779,19,64,413,891,16,103,1
GONZALEZ ORTEGA,12,2,0,1,"420.467,45",137,124,62,0,10,31,81,2,13,0
GRANJA ASTURIAS,9,0,0,0,"773.491,73",0,0,0,0,0,0,0,0,0,0
GUADALAJARA ORIENTE,217,18,4,20,"837.169,27","2,294","2,132","1,072",12,165,472,"1,33",14,330,3
GUADALAJARITA,16,2,1,1,"859.830,56",170,173,71,1,8,45,119,3,17,0
GUADALUPE,41,0,3,6,"352.574,54",128,148,38,0,3,20,68,0,19,0
GUADALUPE DE MONTENEGRO,23,2,2,6,"269.931,80",240,245,161,0,30,43,173,4,44,0
GUADALUPE EJIDAL,53,4,2,13,"1.250.558,09",336,328,161,0,15,43,165,5,105,0
GUADALUPE INN,15,1,2,3,"87.399,72",961,831,403,10,26,247,484,9,31,0
GUADALUPE JARDIN,42,4,0,1,"174.997,62",856,790,295,10,22,185,568,25,20,0
GUADALUPE SUR,28,7,2,6,"82.465,46",379,298,111,1,11,90,192,2,16,0
GUAMUCHIL,0,2,0,0,"255.645,13",0,0,0,0,0,0,0,0,0,0
GUAYABITOS,126,53,16,67,"640.252,93","5,044","5,192","3,922",279,413,"1,118","2,51",93,"1,258",15
GUSA,28,3,1,2,"145.423,05",267,249,128,0,30,33,132,2,62,2
GUSTAVO DIAZ ORDAZ,157,15,2,11,"1.051.088,91","2,192","2,037",995,12,186,347,"1,236",26,610,4
HABITACIONAL TEJEDA,5,4,0,3,"238.014,20",204,209,162,8,18,44,100,2,50,1
HACIENDA AGAVES,2,1,1,1,"151.667,62",131,124,69,1,8,33,89,1,24,1
HACIENDA CASA FUERTE,28,4,0,6,"86.619,93","1,663","1,594",943,2,47,420,"1,09",11,25,2
HACIENDA COLIMILLAS,23,1,0,3,"86.619,93","1,663","1,594",943,2,47,420,"1,09",11,25,2
HACIENDA DE LA REYNA II,2,1,0,3,"313.939,33",563,603,499,12,26,141,288,11,108,2
HACIENDA DE LAS LOMAS,18,0,0,2,"332.219,08",110,124,47,0,3,22,57,1,5,0
HACIENDA DE LOS EUCALIPTOS,364,127,27,91,"631.024,38","7,911","7,649","6,453",379,586,"1,804","3,794",120,"2,269",27
HACIENDA DE SAN MARTIN,8,4,2,4,"436.165,89",340,361,303,0,4,99,156,3,120,0
HACIENDA DE TLAQUEPAQUE,27,10,0,14,"173.987,26","1,153","1,037",605,14,97,234,542,16,290,0
HACIENDA DE VIDRIO,57,3,0,14,"179.169,40",549,519,337,1,30,137,299,3,112,2
HACIENDA DEL CAMICHIN 8470,18,1,0,3,"760.255,05",83,76,44,0,0,20,60,0,1,0
HACIENDA DEL ORO,10,0,0,0,"375.403,88",166,147,103,1,9,48,104,1,6,2
HACIENDA DEL SOL,33,7,2,5,"731.907,24",469,433,242,0,25,103,110,0,26,0
HACIENDA DEL TEPEYAC,190,20,2,22,"107.155,12","2,118","1,934",692,76,128,464,"1,055",31,270,1
HACIENDA DEL VALLE,81,28,8,13,"304.793,06","3,013","2,873","1,594",75,185,727,"1,492",52,604,3
HACIENDA LA NORIA,120,59,17,60,"40.726,81","3,513","3,401","2,764",147,259,746,"1,738",27,"1,337",14
HACIENDA LA PURISIMA,1,0,0,0,"609.500,36",55,56,36,0,1,14,37,0,7,0
HACIENDA LAS PALOMAS,2,2,1,1,"160.807,02",705,701,544,9,40,161,257,7,78,0
HACIENDA LOS FRESNOS,166,56,10,25,"41.357,25","1,389","1,417","1,184",10,121,361,805,10,375,2
HACIENDA REAL,155,52,4,41,"260.024,42","6,524","6,417","4,861",17,248,"1,543","3,383",69,827,4
HACIENDA SAN AGUSTIN,50,6,0,2,"140.924,87",340,325,131,13,23,79,169,5,50,0
HACIENDA SAN ANTONIO,5,1,0,1,"53.472,48",454,410,252,4,19,137,300,6,28,1
HACIENDA SAN MIGUEL,6,2,0,0,"53.472,48",454,410,252,4,19,137,300,6,28,1
HACIENDA SAN PEDRO,60,5,0,2,"46.501,42",691,731,501,2,25,203,405,10,33,2
HACIENDA SANTA CRUZ,20,7,0,9,"304.740,70","1,283","1,237",919,29,52,258,566,6,115,2
HACIENDA SANTA FE,1178,285,64,303,"105.767,19","23,908","23,138","18,428",477,"1,804","5,709","12,676",458,"7,381",46
HACIENDAS DE LA REYNA,21,8,1,3,"167.879,37",517,457,422,0,27,104,212,9,136,3
HACIENDAS DE NUEVO MEXICO,2,0,0,0,"868.287,52",841,829,565,21,44,216,259,12,116,1
HACIENDAS DE SAN JOSE,131,8,0,17,"22.350,59","1,975","1,952","1,023",27,173,547,"1,015",22,366,1
HACIENDAS DE ZAPOPAN,2,3,0,3,"955.077,16",294,304,171,0,26,96,153,0,65,0
HACIENDAS DEL REAL,62,17,1,12,"602.909,02","1,834","1,764","1,079",35,141,376,815,38,542,0
HACIENDAS DEL SUR,8,1,0,3,"320.427,11",411,395,222,11,13,95,204,4,62,0
HACIENDAS GUADALUPE,1,1,0,1,"83.644,29",329,291,117,0,20,79,190,12,16,0
HACIENDAS LA CANDELARIA,61,9,2,6,"267.139,26","1,021",992,574,0,50,280,599,10,204,4
HACIENDAS TONALA,2,0,0,2,"1.043.860,19",0,0,0,0,0,0,0,0,0,0
HELIODORO HERNANDEZ LOZA,514,115,25,100,"230.608,20","8,602","8,302","5,514",81,"1,033","1,672","4,748",143,"1,995",6
HERMOSA PROVINCIA,75,21,7,14,"214.892,00","1,86","1,689","1,06",68,193,413,"1,061",16,495,5
HERMOSILLO,16,9,1,7,"420.288,40","1,175","1,219",967,28,35,233,636,31,309,5
HERNANDEZ ROMO,241,29,4,42,"361.273,92","2,28","2,034","1,034",14,276,435,"1,257",16,737,4
HEROES DE NACOZARI,7,4,0,2,"30.490,61",228,242,188,1,4,53,111,1,35,0
HEROES NACIONALES,9,12,5,4,"335.036,15",498,513,383,9,28,117,271,24,93,0
HIDALGO,179,23,6,28,"48.693,51","1,368","1,307",672,1,146,252,855,14,427,1
HIGUERA,2,3,0,2,"765.130,28",155,139,107,0,24,30,103,2,35,0
HIGUERILLAS,13,2,0,4,"313.340,46",453,409,220,0,16,91,316,0,82,0
HOGARES DE NUEVO MEXICO,83,21,4,12,"30.825,05","1,463","1,435","1,037",92,102,326,676,28,274,5
HOGARES DEL BATAN,55,8,4,7,"299.463,63",995,896,558,14,84,199,561,4,128,0
HORIZONTE EL TAPATIO,26,2,0,3,"353.615,14",130,124,82,0,8,27,62,1,10,0
HORIZONTES DE TLAQUEPAQUE,10,1,1,5,"141.359,96",91,91,85,0,3,26,59,2,22,0
HORMIGUERO,54,7,0,8,"98.729,55",825,748,265,0,33,127,477,3,122,0
HUENTITAN EL ALTO,155,29,3,21,"142.053,97","3,015","2,826","1,796",14,262,620,"1,648",16,604,6
HUENTITAN EL BAJO,404,93,22,64,"94.744,85","7,809","7,527","4,429",60,754,"1,664","4,209",97,"1,627",11
HUERTA BAEZA,188,13,1,14,"194.089,04","1,315","1,115",652,0,121,275,735,18,319,1
HUERTAS DE SAN GASPAR,25,7,3,3,"759.127,81","1,082","1,03",826,7,42,233,514,12,243,2
INDEPENDENCIA,1147,94,9,64,"874.018,69","7,213","6,439","2,654",58,749,"1,455","4,469",85,"1,093",40
INDEPENDENCIA ORIENTE,1118,37,17,72,"1.244.241,26","3,654","3,242","1,05",24,292,861,"2,7",65,547,7
INDIGENA,5,1,1,2,"242.821,62",496,545,464,59,61,101,271,8,136,1
INDIGENA DE MEZQUITAN,53,30,5,27,"214.518,34","3,38","3,189","2,385",63,317,596,"1,841",81,857,5
INDUSTRIAL LOS BELENES,99,1,0,6,"262.113,97",0,0,0,0,0,0,0,0,0,0
INDUSTRIAL ZAPOPAN NORTE,181,2,1,12,"215.358,34",206,204,99,0,2,58,122,2,8,0
INFONAVIT EL CASTILLO,49,16,3,22,"175.503,22","1,298","1,232",870,1,90,253,649,21,309,2
INFONAVIT EL GARABATO,10,3,1,0,"107.416,86",420,391,244,24,14,86,198,5,102,0
INFONAVIT ESTADIO,251,25,6,31,"1.471.534,17","2,273","2,097","1,302",17,203,414,"1,16",34,868,0
INFONAVIT INDEPENDENCIA,120,24,1,17,"225.761,21","1,877","1,768",834,1,239,325,"1,109",32,636,2
INFONAVIT LA SOLEDAD,402,39,2,57,"82.418,05","5,023","4,561","3,082",42,476,900,"2,529",90,"1,512",3
INFONAVIT SAN AGUSTIN DE LAS FLORES,8,2,2,1,"1.696.933,75",197,208,121,0,5,38,90,4,73,2
INFONAVIT TONALA (RIO NILO),523,25,5,30,"606.182,38","3,447","3,122","1,854",21,219,665,"1,623",64,"1,132",3
INSURGENTES,867,106,22,134,"169.246,10",976,"1,006",823,39,87,194,514,20,225,3
ITALIA PROVIDENCIA,241,7,0,5,"124.287,88","1,154",958,250,1,60,240,630,10,96,0
IXCATAN,11,1,0,3,"321.865,25",0,0,0,0,0,0,0,0,0,0
IXTLAHUACAN DE LOS MEMBRILLOS CENTRO,29,9,3,10,"1.765.382,17",333,308,194,2,37,60,191,7,88,3
JACARANDAS,181,3,0,3,"401.180,35",196,165,64,4,20,46,112,0,11,0
JALISCO I SECC,490,96,19,98,"905.109,56","5,997","6,024","4,232",14,608,"1,078","3,473",82,"1,481",7
JALISCO II SECC,223,68,15,72,"1.620.922,48","5,355","5,438","3,976",35,540,"1,023","2,863",87,"1,269",19
JALISCO III SECC,137,29,5,24,"1.421.493,23","1,979","1,967","1,382",1,196,391,"1,173",30,414,5
JALISCO IV SECC,510,77,21,72,"2.631.642,95","6,473","6,277","4,23",65,668,"1,192","3,53",116,"1,536",6
JARDIN REAL,201,31,3,16,"101.596,52","5,693","5,4","2,341",80,117,"1,546","3,293",66,177,3
JARDINES ALCALDE,1043,61,6,32,"412.459,41","5,77","4,984","1,783",36,496,"1,085","4,114",97,491,3
JARDINES DE CHAPALITA,3,1,0,1,"563.451,38",360,316,139,4,15,113,242,2,10,0
JARDINES DE ELIZABETH,5,3,0,3,"92.006,43",509,483,382,0,9,117,205,16,110,1
